iteration(key)	values
7000000 (returns)	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000
7250000 (returns)	-11.000	0.000	0.000	-24.000	0.000	0.000	0.000	0.000	-26.000	0.000	-67.000	0.000	-68.000	0.000	-26.000	-61.000	0.000	0.000	-26.000	0.000	0.000	0.000	0.000	0.000	-11.000	-1.000	-67.000	0.000	0.000	0.000	-24.000	0.000	0.000	0.000	-23.000	0.000	-1.000	0.000	0.000	-23.000	0.000	-24.000	-12.000	0.000	0.000	-74.000
7500000 (returns)	200.000	200.000	196.000	200.000	200.000	200.000	200.000	193.000	200.000	200.000	200.000	200.000	200.000	198.000	200.000	200.000	200.000	200.000	200.000	190.000	0.000	200.000	200.000	200.000	200.000	200.000	200.000	0.000	0.000	200.000	-200.000	200.000	200.000	-200.000	200.000	200.000	200.000	200.000	200.000	200.000	200.000	200.000	196.000	200.000	200.000	200.000
7750000 (returns)	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
8000000 (returns)	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-200.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-200.000	0.000	0.000	0.000	0.000	0.000	0.000	-200.000	0.000	0.000	0.000	-200.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
8250000 (returns)	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000
8500000 (returns)	0.000	0.000	100.000	200.000	0.000	0.000	100.000	200.000	0.000	0.000	100.000	0.000	0.000	100.000	200.000	200.000	100.000	100.000	0.000	200.000	0.000	200.000	200.000	200.000	0.000	200.000	200.000	200.000	100.000	200.000	200.000	0.000	200.000	100.000	100.000	0.000	0.000	0.000	200.000	100.000	100.000	100.000	100.000	0.000	200.000	100.000
8750000 (returns)	100.000	100.000	0.000	200.000	100.000	200.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	200.000	100.000	100.000	100.000	100.000	200.000	200.000	100.000	100.000	100.000	200.000	100.000	100.000	100.000	100.000	100.000	200.000	200.000	100.000	100.000	200.000	200.000	200.000	100.000	200.000	100.000	200.000	100.000	200.000	100.000	100.000	100.000
9000000 (returns)	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-200.000	0.000	0.000	-200.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-200.000	0.000	0.000	0.000	-200.000	0.000	0.000	0.000	0.000	0.000
9250000 (returns)	197.000	197.000	197.000	199.000	197.000	173.000	157.000	197.000	197.000	197.000	197.000	169.000	197.000	197.000	196.000	170.000	197.000	192.000	197.000	197.000	91.000	197.000	197.000	199.000	199.000	199.000	197.000	185.000	197.000	197.000	197.000	197.000	170.000	199.000	197.000	163.000	182.000	197.000	197.000	197.000	199.000	199.000	197.000	163.000	137.000	197.000
