iteration(key)	values
9500000 (returns)	565.330	566.877	564.060	564.432	539.582	530.961	563.837	537.807	539.624	540.772	565.203	556.984	566.973	564.423	554.615	559.122	541.605	572.207	535.417	566.824	570.388	558.956	520.500	563.128	563.929	551.375	556.812	530.202	559.405	535.075	568.099	519.006
10000000 (returns)	545.120	571.685	546.019	559.034	521.098	537.841	566.237	565.098	564.006	563.416	547.168	531.308	547.956	555.381	563.778	556.886	555.957	553.211	547.072	552.804	550.424	557.153	526.037	546.797	561.140	558.134	530.909	559.363	520.982	560.933	530.603	541.878
10500000 (returns)	569.693	533.401	570.441	517.226	526.956	515.452	506.368	527.758	565.776	527.713	528.428	558.934	561.420	533.016	564.838	564.949	528.270	556.872	567.710	562.171	504.266	565.510	567.482	542.649	561.575	410.101	563.989	533.824	526.202	568.860	553.659	540.497
11000000 (returns)	557.723	563.794	568.926	543.878	538.213	552.410	554.528	558.104	526.800	551.108	563.658	531.541	546.833	565.871	552.383	576.539	556.145	541.938	529.938	533.380	518.319	552.421	534.793	556.805	568.372	553.709	516.163	543.581	563.801	550.795	534.393	534.604
11500000 (returns)	539.111	546.329	553.209	569.008	559.673	567.127	552.301	554.515	575.684	548.051	517.607	538.119	550.660	568.190	548.166	533.821	542.871	559.495	541.801	566.201	526.707	555.176	565.776	574.364	563.719	549.751	534.049	570.886	537.810	554.622	568.795	564.243
12000000 (returns)	526.743	526.034	563.992	529.277	560.466	572.457	521.833	564.276	567.711	534.232	547.691	548.988	574.640	542.036	535.282	522.292	570.859	508.299	557.093	538.077	523.280	522.875	524.858	536.992	556.915	543.208	524.006	533.243	534.489	528.168	545.649	545.407
12500000 (returns)	517.919	561.907	546.461	514.432	508.327	522.073	565.671	534.428	571.823	524.066	513.263	515.421	552.835	556.941	519.101	557.037	537.297	520.463	562.029	548.196	548.840	563.281	512.351	527.809	573.383	534.944	560.329	555.863	529.750	509.332	563.294	525.276
13000000 (returns)	542.712	565.696	566.064	563.375	554.784	550.703	512.660	568.320	507.692	525.822	559.300	539.229	548.226	513.591	533.988	571.138	539.542	533.895	510.502	561.340	537.233	506.465	523.587	533.694	522.608	559.741	557.740	538.917	563.247	537.789	555.039	550.612
13500000 (returns)	555.460	525.834	522.843	501.278	548.561	515.627	554.053	560.755	513.933	530.485	492.973	539.763	557.707	571.227	519.354	512.612	530.480	529.181	563.685	515.973	564.843	543.532	545.380	553.494	522.007	550.163	555.055	525.073	544.652	554.398	532.666	564.491
14000000 (returns)	547.438	553.819	565.446	531.058	565.998	532.324	564.557	539.558	515.471	556.503	569.746	564.993	520.028	565.119	549.789	560.273	547.988	563.342	564.072	532.981	569.490	521.044	554.186	551.342	536.629	520.057	520.364	524.110	549.684	562.077	550.788	559.062
14500000 (returns)	534.525	566.240	557.400	562.774	569.615	534.281	506.503	543.535	565.982	536.620	518.366	553.467	521.917	501.708	543.949	565.184	545.164	559.188	557.663	566.905	572.676	504.855	564.169	552.168	547.795	572.089	513.747	548.113	531.766	515.675	543.224	501.660
15000000 (returns)	570.793	559.162	571.426	533.983	500.584	537.145	564.076	533.569	503.889	562.245	554.162	549.801	566.151	550.920	534.625	563.006	511.950	565.858	522.785	506.933	525.356	524.095	346.459	540.143	536.412	552.742	522.034	511.814	554.781	573.796	562.093	544.869
15500000 (returns)	559.122	530.232	535.277	573.164	548.647	561.620	571.844	535.353	522.013	555.063	536.835	572.060	555.152	543.897	558.481	514.914	523.156	494.917	568.414	500.032	546.372	543.489	534.247	564.424	523.077	515.588	512.310	314.006	555.743	514.638	532.885	535.814
16000000 (returns)	522.568	511.933	502.528	558.836	507.944	529.355	555.392	538.479	551.104	554.892	579.016	531.765	507.095	540.951	489.729	553.066	567.071	578.600	537.857	521.018	531.234	538.798	552.255	508.790	577.308	565.476	539.363	523.136	563.290	506.162	567.368	528.928
16500000 (returns)	531.292	344.551	500.072	553.451	546.273	556.472	577.919	558.347	546.808	548.631	550.922	547.293	566.392	544.776	558.566	528.435	561.163	502.995	528.899	551.754	505.818	570.739	559.617	559.970	500.821	533.181	528.958	548.477	529.885	548.062	533.701	518.482
17000000 (returns)	542.847	535.402	568.135	294.985	562.846	563.290	573.284	536.477	526.113	566.617	527.471	530.286	494.451	541.028	530.471	556.175	568.801	538.969	545.560	521.691	571.193	529.200	532.117	561.001	534.005	568.002	569.032	542.739	501.947	522.545	562.425	314.791
17500000 (returns)	488.319	296.552	520.000	552.606	559.216	568.717	536.691	553.303	530.275	547.948	547.834	566.353	510.743	300.408	577.110	452.700	511.417	535.737	559.729	556.647	533.930	561.059	505.163	555.201	565.914	503.301	535.906	510.801	554.318	549.417	498.932	541.129
18000000 (returns)	550.064	542.883	560.641	546.802	534.241	571.263	544.381	521.812	505.509	525.270	558.388	559.950	528.120	566.478	504.122	531.530	503.477	505.660	555.174	560.425	528.514	528.467	510.365	536.946	524.916	557.203	562.629	560.577	522.558	567.067	572.894	481.478
18500000 (returns)	533.338	508.818	540.227	554.072	529.551	546.081	548.491	547.934	547.844	530.057	539.137	508.650	529.396	286.458	332.995	528.331	565.254	493.269	511.087	525.853	303.366	554.063	506.941	305.106	542.761	281.042	544.457	334.588	577.217	529.820	551.732	547.605
